file_id,record_id
46,29
46,31
47,7
47,13
47,21
47,22
47,26
47,27
48,5
48,26
48,31
48,40
49,7
49,14
49,23
49,25
49,27
49,33
50,1
50,3
50,10
50,15
50,39
51,0
51,6
51,15
51,18
51,32
51,41
52,4
52,5
52,9
52,14
52,20
52,24
52,33
52,39
53,3
53,6
53,8
53,16
53,22
53,23
53,25
53,26
53,37
54,8
54,9
54,16
54,17
54,26
54,30
55,0
55,1
55,7
55,15
55,18
55,35
56,2
56,12
56,14
56,15
56,25
56,26
56,27
57,2
57,12
57,13
57,22
57,27
57,31
58,1
58,4
58,9
58,12
58,16
58,31
58,40
58,42
60,3
60,4
60,7
60,15
60,16
60,25
60,26
60,28
60,29
61,5
61,6
61,7
61,17
61,18
61,19
61,20
61,23
62,5
62,8
62,10
62,19
62,20
62,23
62,25
63,1
63,9
63,28
63,35
64,0
64,6
64,14
64,21
64,27
64,31
64,34
65,12
65,18
65,20
65,30
65,32
65,36
66,0
66,5
66,9
66,22
66,31
66,32
66,33
67,13
67,14
67,38
67,48
68,0
68,1
68,4
68,33
69,12
69,15
69,16
69,21
69,22
69,25
69,28
70,27
70,30
70,36
71,2
71,8
71,10
71,31
71,32
71,33
72,0
72,9
72,10
72,37
72,43
73,3
73,8
73,18
73,19
73,27
73,42
74,0
74,8
74,11
74,13
74,25
74,29
74,30
74,35
75,4
75,6
75,7
75,8
75,11
75,14
75,15
75,16
75,20
75,21
75,26
76,0
76,1
76,7
76,38
77,14
77,15
77,32
77,37
77,46
78,1
78,10
78,20
78,23
78,26
78,36
78,42
78,49
79,0
79,14
79,16
79,17
79,19
79,29
79,34
79,35
80,10
80,14
80,27
80,31
81,2
81,13
81,26
81,34
82,0
82,1
82,3
82,5
82,8
82,12
82,33
83,17
83,19
83,32
83,34
83,37
84,1
84,3
84,9
84,17
84,26
84,29
84,32
85,4
85,13
85,14
85,24
85,26
85,27
85,29
85,31
87,10
87,14
87,25
87,26
87,32
88,14
88,16
88,20
88,22
89,5
89,12
89,14
89,19
89,37
89,44
89,45
89,46
90,11
90,25
90,26
90,30
90,32
91,1
91,2
91,4
91,5
91,7
91,12
91,22
91,31
92,5
92,19
92,25
92,26
92,27
92,28
92,34
92,35
92,36
93,0
93,10
93,11
93,18
93,21
93,23
93,24
93,25
94,7
94,9
94,29
94,30
94,37
95,1
95,36
96,7
96,8
96,10
96,14
96,18
96,21
96,23
96,30
97,3
97,10
97,13
97,15
97,34
97,36
98,15
98,23
98,27
98,29
98,38
98,40
99,3
99,10
99,16
99,26
100,0
100,4
100,7
100,10
100,16
100,17
100,18
100,21
100,24
100,29
101,0
101,5
101,8
101,10
101,14
101,24
101,25
101,32
101,37
103,3
103,4
103,13
103,19
103,22
103,36
104,9
104,13
104,29
104,35
105,1
105,35
105,40
105,44
106,0
106,4
106,27
106,30
106,33
106,34
106,35
106,44
106,45
107,7
107,9
107,15
107,19
107,25
107,26
107,36
108,7
108,12
108,14
108,19
108,21
108,23
108,27
108,30
109,9
109,10
109,16
109,44
109,46
110,0
110,5
110,18
110,26
110,33
110,34
110,35
111,3
111,7
111,15
111,16
111,18
111,20
112,1
112,6
112,11
112,12
112,14
112,17
112,18
112,33
112,35
114,8
114,15
114,18
114,21
115,3
115,17
115,18
115,22
115,24
115,29
116,1
116,3
116,13
116,16
116,20
116,24
116,27
116,28
117,10
117,14
117,30
117,32
117,36
118,0
118,1
118,7
118,11
118,18
118,21
118,28
118,29
118,36
119,0
119,9
119,11
119,19
119,34
120,0
120,8
120,19
120,35
120,36
120,40
120,45
121,1
121,20
121,35
121,39
121,41
122,8
122,14
122,23
122,25
122,27
122,37
122,39
123,8
123,16
123,30
123,32
123,36
124,5
124,12
124,29
124,33
124,38
124,41
127,6
127,10
127,12
127,14
127,19
127,22
127,26
127,34
129,1
129,2
129,3
129,6
129,8
129,11
129,14
129,17
129,19
129,22
129,30
129,32
129,33
129,34
129,35
130,14
130,39
130,52
130,61
130,64
131,5
131,9
131,16
131,25
131,30
132,3
132,4
132,7
132,8
132,10
132,11
132,13
132,18
132,23
132,26
132,27
132,28
133,0
133,25
133,26
133,29
134,0
134,25
134,29
134,31
135,2
135,3
135,6
135,13
135,16
135,32
135,35
136,4
136,6
136,8
136,9
136,19
136,20
136,36
136,37
137,0
137,10
137,11
137,18
137,27
137,31
137,33
138,3
138,4
138,17
138,19
138,21
138,25
138,26
138,27
139,4
139,8
139,13
139,17
139,23
139,25
139,34
139,39
140,9
140,22
140,31
140,32
140,34
141,1
141,13
141,18
141,23
142,3
142,5
142,11
142,16
142,20
142,23
142,25
142,27
142,28
142,31
143,1
143,5
143,15
143,24
143,27
143,32
143,36
143,38
144,6
144,7
144,14
144,16
144,25
144,27
144,41
145,2
145,9
145,20
145,22
145,23
145,24
145,26
145,30
145,31
145,32
145,41
145,43
146,0
146,4
146,6
146,14
146,21
146,26
146,31
147,15
147,17
147,19
147,23
147,34
147,36
148,5
148,11
148,12
148,16
148,18
148,29
148,34
148,37
149,7
149,10
149,12
149,17
149,24
149,31
149,38
150,1
150,12
150,18
150,19
150,35
151,15
151,17
151,19
151,31
151,32
151,34
151,40
152,6
152,10
152,16
152,17
152,20
152,21
152,37
153,0
153,5
153,8
153,10
153,13
153,15
153,19
153,20
153,28
153,31
153,33
153,37
154,4
154,8
154,11
154,12
154,15
154,18
154,20
154,21
154,23
154,35
156,6
156,13
156,23
156,24
156,43
158,0
158,5
158,7
158,9
158,26
158,30
158,33
159,0
159,4
159,6
159,7
159,17
159,19
159,36
159,37
160,16
160,20
160,23
160,30
160,45
161,10
161,20
161,23
161,25
161,27
162,13
162,32
162,34
162,40
162,42
163,0
163,9
163,11
163,17
163,22
163,24
163,25
163,26
163,27
164,5
164,13
164,17
164,21
164,25
164,36
164,37
165,7
165,8
165,9
165,11
165,13
165,19
166,4
166,9
166,11
166,29
166,30
166,37
166,41
167,8
167,19
167,37
167,38
167,39
168,2
168,17
168,18
168,19
168,21
168,22
168,33
170,0
170,1
170,2
170,3
170,10
170,11
170,19
170,32
171,4
171,8
171,15
171,17
171,19
171,24
171,29
171,32
172,1
172,9
172,16
172,19
172,31
172,34
172,43
173,8
173,9
173,11
173,12
173,28
173,29
174,0
174,1
174,2
174,6
174,7
174,8
174,18
174,23
174,24
175,6
175,12
175,14
175,17
175,19
175,39
176,2
176,3
176,4
176,14
176,15
176,24
176,27
177,14
177,32
177,33
177,39
178,6
178,11
178,13
178,18
178,26
180,7
180,8
180,13
180,14
180,23
180,37
181,4
181,11
181,13
181,15
181,31
182,9
182,13
182,14
182,19
182,28
182,30
182,31
183,0
183,1
183,10
183,12
183,13
183,22
183,23
183,34
184,2
184,4
184,20
184,28
184,31
184,50
185,12
185,14
185,26
185,27
185,35
185,37
186,2
186,5
186,11
186,15
186,21
186,28
186,30
186,31
186,35
186,37
186,39
187,4
187,12
187,13
188,2
188,13
188,27
188,28
188,30
189,10
189,13
189,17
189,18
189,19
189,29
190,2
190,8
190,9
190,11
190,35
190,42
190,43
191,0
191,13
191,18
191,25
191,31
192,4
192,19
192,25
192,28
193,10
193,16
193,26
193,28
193,29
193,35
193,43
194,5
194,8
194,10
194,15
194,17
194,28
194,29
194,30
194,32
194,34
194,38
195,12
195,18
195,31
195,44
195,45
195,48
195,49
197,0
197,5
197,6
197,10
197,18
197,25
197,31
198,1
198,9
198,15
198,35
198,36
199,5
199,10
199,11
199,13
199,14
199,16
199,18
199,22
199,26
201,0
201,8
201,9
202,7
202,18
202,30
202,31
202,34
202,44
203,5
203,15
203,32
203,33
204,1
204,8
204,19
204,25
204,28
204,35
205,0
205,9
205,10
205,14
205,15
205,19
205,26
205,38
206,0
206,2
206,4
206,6
206,7
206,9
206,11
206,12
206,14
206,16
206,26
207,2
207,4
207,9
207,28
207,39
207,41
208,0
208,4
208,6
208,7
208,11
208,14
208,16
208,18
208,21
208,22
208,25
208,26
209,10
209,11
209,14
209,23
209,25
210,8
210,11
210,12
210,18
210,24
210,25
210,26
210,27
210,33
210,40
211,5
211,6
211,17
211,18
211,27
211,28
211,29
211,31
211,34
211,36
213,5
213,10
213,15
213,19
213,23
213,24
213,30
214,3
214,6
214,19
214,25
214,27
214,29
214,39
215,0
215,2
215,3
215,8
215,14
215,16
215,18
215,26
215,40
216,0
216,5
216,13
216,14
216,19
216,26
216,27
217,0
217,5
217,10
217,11
217,12
217,20
217,31
217,40
218,0
218,10
218,13
218,19
218,32
219,2
219,3
219,13
219,18
219,21
219,30
219,31
220,2
220,7
220,10
220,12
220,15
220,19
220,34
220,35
221,11
221,18
221,19
221,28
221,36
221,40
